,Time
572,11.44
573,11.46
574,11.48
575,11.5
576,11.52
577,11.54
578,11.56
579,11.58
580,11.6
581,11.62
582,11.64
583,11.66
584,11.68
585,11.7
586,11.72
587,11.74
588,11.76
589,11.78
590,11.8
591,11.82
592,11.84
593,11.86
594,11.88
595,11.9
596,11.92
597,11.94
598,11.96
599,11.98
600,12.0
601,12.02
602,12.04
603,12.06
604,12.08
605,12.1
606,12.12
607,12.14
608,12.16
609,12.18
610,12.2
611,12.22
612,12.24
613,12.26
614,12.28
615,12.3
616,12.32
617,12.34
618,12.36
619,12.38
620,12.4
621,12.42
622,12.44
623,12.46
624,12.48
625,12.5
626,12.52
627,12.54
628,12.56
629,12.58
630,12.6
631,12.62
632,12.64
633,12.66
634,12.68
635,12.7
636,12.72
637,12.74
638,12.76
639,12.78
640,12.8
641,12.82
642,12.84
643,12.86
644,12.88
645,12.9
646,12.92
647,12.94
648,12.96
649,12.98
650,13.0
651,13.02
652,13.04
653,13.06
654,13.08
655,13.1
656,13.12
657,13.14
658,13.16
659,13.18
660,13.2
661,13.22
662,13.24
663,13.26
664,13.28
665,13.3
666,13.32
667,13.34
668,13.36
669,13.38
670,13.4
671,13.42
672,13.44
673,13.46
674,13.48
675,13.5
676,13.52
677,13.54
678,13.56
679,13.58
680,13.6
681,13.62
682,13.64
683,13.66
684,13.68
685,13.7
686,13.72
687,13.74
688,13.76
689,13.78
690,13.8
691,13.82
692,13.84
693,13.86
694,13.88
695,13.9
696,13.92
697,13.94
698,13.96
699,13.98
700,14.0
701,14.02
702,14.04
703,14.06
704,14.08
705,14.1
706,14.12
707,14.14
708,14.16
709,14.18
710,14.2
711,14.22
712,14.24
713,14.26
714,14.28
715,14.3
716,14.32
717,14.34
718,14.36
719,14.38
720,14.4
721,14.42
722,14.44
723,14.46
724,14.48
725,14.5
726,14.52
727,14.54
728,14.56
729,14.58
730,14.6
731,14.62
732,14.64
733,14.66
734,14.68
735,14.7
736,14.72
737,14.74
738,14.76
739,14.78
740,14.8
741,14.82
742,14.84
743,14.86
744,14.88
745,14.9
746,14.92
747,14.94
748,14.96
749,14.98
750,15.0
751,15.02
752,15.04
753,15.06
754,15.08
755,15.1
756,15.12
757,15.14
758,15.16
759,15.18
760,15.2
761,15.22
762,15.24
763,15.26
764,15.28
765,15.3
766,15.32
767,15.34
768,15.36
769,15.38
770,15.4
771,15.42
772,15.44
773,15.46
774,15.48
775,15.5
776,15.52
777,15.54
778,15.56
779,15.58
780,15.6
781,15.62
782,15.64
783,15.66
784,15.68
785,15.7
786,15.72
787,15.74
788,15.76
789,15.78
790,15.8
791,15.82
792,15.84
793,15.86
794,15.88
795,15.9
796,15.92
797,15.94
798,15.96
799,15.98
800,16.0
801,16.02
802,16.04
803,16.06
804,16.08
805,16.1
806,16.12
807,16.14
808,16.16
809,16.18
810,16.2
811,16.22
812,16.24
813,16.26
814,16.28
815,16.3
816,16.32
817,16.34
818,16.36
819,16.38
820,16.4
821,16.42
822,16.44
823,16.46
824,16.48
825,16.5
826,16.52
827,16.54
828,16.56
829,16.58
830,16.6
831,16.62
832,16.64
833,16.66
834,16.68
835,16.7
836,16.72
837,16.74
838,16.76
839,16.78
840,16.8
841,16.82
842,16.84
843,16.86
844,16.88
845,16.9
846,16.92
847,16.94
848,16.96
849,16.98
850,17.0
851,17.02
852,17.04
853,17.06
854,17.08
855,17.1
856,17.12
857,17.14
858,17.16
859,17.18
860,17.2
861,17.22
862,17.24
863,17.26
864,17.28
865,17.3
866,17.32
867,17.34
868,17.36
869,17.38
870,17.4
871,17.42
872,17.44
873,17.46
874,17.48
875,17.5
876,17.52
877,17.54
878,17.56
879,17.58
880,17.6
881,17.62
882,17.64
883,17.66
884,17.68
885,17.7
886,17.72
887,17.74
888,17.76
889,17.78
890,17.8
891,17.82
892,17.84
893,17.86
894,17.88
895,17.9
896,17.92
897,17.94
898,17.96
899,17.98
900,18.0
901,18.02
902,18.04
903,18.06
904,18.08
905,18.1
906,18.12
907,18.14
908,18.16
909,18.18
910,18.2
911,18.22
912,18.24
913,18.26
914,18.28
915,18.3
916,18.32
917,18.34
918,18.36
919,18.38
920,18.4
921,18.42
922,18.44
923,18.46
924,18.48
925,18.5
926,18.52
927,18.54
928,18.56
929,18.58
930,18.6
931,18.62
932,18.64
933,18.66
934,18.68
935,18.7
936,18.72
937,18.74
938,18.76
939,18.78
940,18.8
941,18.82
942,18.84
943,18.86
944,18.88
945,18.9
946,18.92
947,18.94
948,18.96
949,18.98
950,19.0
951,19.02
952,19.04
953,19.06
954,19.08
955,19.1
956,19.12
957,19.14
958,19.16
959,19.18
960,19.2
961,19.22
962,19.24
963,19.26
964,19.28
965,19.3
966,19.32
967,19.34
968,19.36
969,19.38
970,19.4
971,19.42
972,19.44
973,19.46
974,19.48
975,19.5
976,19.52
977,19.54
978,19.56
979,19.58
980,19.6
981,19.62
982,19.64
983,19.66
984,19.68
985,19.7
986,19.72
987,19.74
988,19.76
989,19.78
990,19.8
991,19.82
992,19.84
993,19.86
994,19.88
995,19.9
996,19.92
997,19.94
998,19.96
999,19.98
1000,20.0
1001,20.02
1002,20.04
1003,20.06
1004,20.08
1005,20.1
1006,20.12
1007,20.14
1008,20.16
1009,20.18
1010,20.2
1011,20.22
1012,20.24
1013,20.26
1014,20.28
1015,20.3
1016,20.32
1017,20.34
1018,20.36
1019,20.38
1020,20.4
1021,20.42
1022,20.44
1023,20.46
1024,20.48
1025,20.5
1026,20.52
1027,20.54
1028,20.56
1029,20.58
1030,20.6
1031,20.62
1032,20.64
1033,20.66
1034,20.68
1035,20.7
1036,20.72
1037,20.74
1038,20.76
1039,20.78
1040,20.8
1041,20.82
1042,20.84
1043,20.86
1044,20.88
1045,20.9
1046,20.92
1047,20.94
1048,20.96
1049,20.98
1050,21.0
1051,21.02
1052,21.04
1053,21.06
1054,21.08
1055,21.1
1056,21.12
1057,21.14
1058,21.16
1059,21.18
1060,21.2
1061,21.22
1062,21.24
1063,21.26
1064,21.28
1065,21.3
1066,21.32
1067,21.34
1068,21.36
1069,21.38
1070,21.4
1071,21.42
1072,21.44
1073,21.46
1074,21.48
1075,21.5
1076,21.52
1077,21.54
1078,21.56
1079,21.58
1080,21.6
1081,21.62
1082,21.64
1083,21.66
1084,21.68
1085,21.7
1086,21.72
1087,21.74
1088,21.76
1089,21.78
1090,21.8
1091,21.82
1092,21.84
1093,21.86
1094,21.88
1095,21.9
1096,21.92
1097,21.94
1098,21.96
1099,21.98
1100,22.0
1101,22.02
1102,22.04
1103,22.06
1104,22.08
1105,22.1
1106,22.12
1107,22.14
1108,22.16
1109,22.18
1110,22.2
1111,22.22
1112,22.24
1113,22.26
1114,22.28
1115,22.3
1116,22.32
1117,22.34
1118,22.36
1119,22.38
1120,22.4
1121,22.42
1122,22.44
1123,22.46
1124,22.48
1125,22.5
1126,22.52
1127,22.54
1128,22.56
1129,22.58
1130,22.6
1131,22.62
1132,22.64
1133,22.66
1134,22.68
1135,22.7
1136,22.72
1137,22.74
1138,22.76
1139,22.78
1140,22.8
1141,22.82
1142,22.84
1143,22.86
1144,22.88
1145,22.9
1146,22.92
1147,22.94
1148,22.96
1149,22.98
1150,23.0
1151,23.02
1152,23.04
1153,23.06
1154,23.08
1155,23.1
1156,23.12
1157,23.14
1158,23.16
1159,23.18
1160,23.2
1161,23.22
1162,23.24
1163,23.26
1164,23.28
1165,23.3
1166,23.32
1167,23.34
1168,23.36
1169,23.38
1170,23.4
1171,23.42
1172,23.44
1173,23.46
1174,23.48
1175,23.5
1176,23.52
1177,23.54
1178,23.56
1179,23.58
1180,23.6
1181,23.62
1182,23.64
1183,23.66
1184,23.68
1185,23.7
1186,23.72
1187,23.74
1188,23.76
1189,23.78
1190,23.8
1191,23.82
1192,23.84
1193,23.86
1194,23.88
1195,23.9
1196,23.92
1197,23.94
1198,23.96
1199,23.98
1200,24.0
1201,24.02
1202,24.04
1203,24.06
1204,24.08
1205,24.1
1206,24.12
1207,24.14
1208,24.16
1209,24.18
1210,24.2
1211,24.22
1212,24.24
1213,24.26
1214,24.28
1215,24.3
1216,24.32
1217,24.34
1218,24.36
1219,24.38
1220,24.4
1221,24.42
1222,24.44
1223,24.46
1224,24.48
1225,24.5
1226,24.52
1227,24.54
1228,24.56
1229,24.58
1230,24.6
1231,24.62
1232,24.64
1233,24.66
1234,24.68
1235,24.7
1236,24.72
1237,24.74
1238,24.76
1239,24.78
1240,24.8
1241,24.82
1242,24.84
1243,24.86
1244,24.88
1245,24.9
1246,24.92
1247,24.94
1248,24.96
1249,24.98
1250,25.0
1251,25.02
1252,25.04
1253,25.06
1254,25.08
1255,25.1
1256,25.12
1257,25.14
1258,25.16
1259,25.18
1260,25.2
1261,25.22
1262,25.24
1263,25.26
1264,25.28
1265,25.3
1266,25.32
1267,25.34
1268,25.36
1269,25.38
1270,25.4
1271,25.42
1272,25.44
1273,25.46
1274,25.48
1275,25.5
1276,25.52
1277,25.54
1278,25.56
1279,25.58
1280,25.6
1281,25.62
1282,25.64
1283,25.66
1284,25.68
1285,25.7
1286,25.72
1287,25.74
1288,25.76
1289,25.78
1290,25.8
1291,25.82
1292,25.84
1293,25.86
1294,25.88
1295,25.9
1296,25.92
1297,25.94
1298,25.96
1299,25.98
1300,26.0
1301,26.02
1302,26.04
1303,26.06
1304,26.08
1305,26.1
1306,26.12
1307,26.14
1308,26.16
1309,26.18
1310,26.2
1311,26.22
1312,26.24
1313,26.26
1314,26.28
1315,26.3
1316,26.32
1317,26.34
1318,26.36
1319,26.38
1320,26.4
1321,26.42
1322,26.44
1323,26.46
1324,26.48
1325,26.5
1326,26.52
1327,26.54
1328,26.56
1329,26.58
1330,26.6
1331,26.62
1332,26.64
1333,26.66
1334,26.68
1335,26.7
1336,26.72
1337,26.74
1338,26.76
1339,26.78
1340,26.8
1341,26.82
1342,26.84
1343,26.86
1344,26.88
1345,26.9
1346,26.92
1347,26.94
1348,26.96
1349,26.98
1350,27.0
1351,27.02
1352,27.04
1353,27.06
1354,27.08
1355,27.1
1356,27.12
1357,27.14
1358,27.16
1359,27.18
1360,27.2
1361,27.22
1362,27.24
1363,27.26
1364,27.28
1365,27.3
1366,27.32
1367,27.34
1368,27.36
1369,27.38
1370,27.4
1371,27.42
1372,27.44
1373,27.46
1374,27.48
1375,27.5
1376,27.52
1377,27.54
1378,27.56
1379,27.58
1380,27.6
1381,27.62
1382,27.64
1383,27.66
1384,27.68
1385,27.7
1386,27.72
1387,27.74
1388,27.76
1389,27.78
1390,27.8
1391,27.82
1392,27.84
1393,27.86
1394,27.88
1395,27.9
1396,27.92
1397,27.94
1398,27.96
1399,27.98
1400,28.0
1401,28.02
1402,28.04
1403,28.06
1404,28.08
1405,28.1
1406,28.12
1407,28.14
1408,28.16
1409,28.18
1410,28.2
1411,28.22
1412,28.24
1413,28.26
1414,28.28
1415,28.3
1416,28.32
1417,28.34
1418,28.36
1419,28.38
1420,28.4
1421,28.42
1422,28.44
1423,28.46
1424,28.48
1425,28.5
1426,28.52
1427,28.54
1428,28.56
1429,28.58
1430,28.6
1431,28.62
1432,28.64
1433,28.66
1434,28.68
1435,28.7
1436,28.72
1437,28.74
1438,28.76
1439,28.78
1440,28.8
1441,28.82
1442,28.84
1443,28.86
1444,28.88
1445,28.9
1446,28.92
1447,28.94
1448,28.96
1449,28.98
1450,29.0
1451,29.02
1452,29.04
1453,29.06
1454,29.08
1455,29.1
1456,29.12
1457,29.14
1458,29.16
1459,29.18
1460,29.2
1461,29.22
1462,29.24
1463,29.26
1464,29.28
1465,29.3
1466,29.32
1467,29.34
1468,29.36
1469,29.38
1470,29.4
1471,29.42
1472,29.44
1473,29.46
1474,29.48
1475,29.5
1476,29.52
1477,29.54
1478,29.56
1479,29.58
1480,29.6
1481,29.62
1482,29.64
1483,29.66
1484,29.68
1485,29.7
1486,29.72
1487,29.74
1488,29.76
1489,29.78
1490,29.8
1491,29.82
1492,29.84
1493,29.86
1494,29.88
1495,29.9
1496,29.92
1497,29.94
1498,29.96
1499,29.98
1500,30.01
1501,30.03
1502,30.05
1503,30.07
1504,30.09
1505,30.11
1506,30.13
1507,30.15
1508,30.17
1509,30.19
1510,30.21
1511,30.23
1512,30.25
1513,30.27
1514,30.29
1515,30.31
1516,30.33
1517,30.35
1518,30.37
1519,30.39
1520,30.41
1521,30.43
1522,30.45
1523,30.47
1524,30.49
1525,30.51
1526,30.53
1527,30.55
1528,30.57
1529,30.59
1530,30.61
1531,30.63
1532,30.65
1533,30.67
1534,30.69
1535,30.71
1536,30.73
1537,30.75
1538,30.77
1539,30.79
1540,30.81
1541,30.83
1542,30.85
1543,30.87
1544,30.89
1545,30.91
1546,30.93
1547,30.95
1548,30.97
1549,30.99
1550,31.01
1551,31.03
1552,31.05
1553,31.07
1554,31.09
1555,31.11
1556,31.13
1557,31.15
1558,31.17
1559,31.19
1560,31.21
1561,31.23
1562,31.25
1563,31.27
1564,31.29
1565,31.31
1566,31.33
1567,31.35
1568,31.37
1569,31.39
1570,31.41
1571,31.43
1572,31.45
1573,31.47
1574,31.49
1575,31.51
1576,31.53
1577,31.55
1578,31.57
1579,31.59
1580,31.61
1581,31.63
1582,31.65
1583,31.67
1584,31.69
1585,31.71
1586,31.73
1587,31.75
1588,31.77
1589,31.79
1590,31.81
1591,31.83
1592,31.85
1593,31.87
1594,31.89
1595,31.91
1596,31.93
1597,31.95
1598,31.97
1599,31.99
1600,32.01
1601,32.03
1602,32.05
1603,32.07
1604,32.09
1605,32.11
1606,32.13
1607,32.15
1608,32.17
1609,32.19
1610,32.21
1611,32.23
1612,32.25
1613,32.27
1614,32.29
1615,32.31
1616,32.33
1617,32.35
1618,32.37
1619,32.39
1620,32.41
1621,32.43
1622,32.45
1623,32.47
1624,32.49
1625,32.51
1626,32.53
1627,32.55
1628,32.57
1629,32.59
1630,32.61
1631,32.63
1632,32.65
1633,32.67
1634,32.69
1635,32.71
1636,32.73
1637,32.75
1638,32.77
1639,32.79
1640,32.81
1641,32.83
1642,32.85
1643,32.87
1644,32.89
1645,32.91
1646,32.93
1647,32.95
1648,32.97
1649,32.99
1650,33.01
1651,33.03
1652,33.05
1653,33.07
1654,33.09
1655,33.11
1656,33.13
1657,33.15
1658,33.17
1659,33.19
1660,33.21
1661,33.23
1662,33.25
1663,33.27
1664,33.29
1665,33.31
1666,33.33
1667,33.35
1668,33.37
1669,33.39
1670,33.41
1671,33.43
1672,33.45
1673,33.47
1674,33.49
1675,33.51
1676,33.53
1677,33.55
1678,33.57
1679,33.59
1680,33.61
1681,33.63
1682,33.65
1683,33.67
1684,33.69
1685,33.71
1686,33.73
1687,33.75
1688,33.77
1689,33.79
1690,33.81
1691,33.83
1692,33.85
1693,33.87
1694,33.89
1695,33.91
1696,33.93
1697,33.95
1698,33.97
1699,33.99
1700,34.01
1701,34.03
1702,34.05
1703,34.07
1704,34.09
1705,34.11
1706,34.13
1707,34.15
1708,34.17
1709,34.19
1710,34.21
1711,34.23
1712,34.25
1713,34.27
1714,34.29
1715,34.31
1716,34.33
1717,34.35
1718,34.37
1719,34.39
1720,34.41
1721,34.43
1722,34.45
1723,34.47
1724,34.49
1725,34.51
1726,34.53
1727,34.55
1728,34.57
1729,34.59
1730,34.61
1731,34.63
1732,34.65
1733,34.67
1734,34.69
1735,34.71
1736,34.73
1737,34.75
1738,34.77
1739,34.79
1740,34.81
1741,34.83
1742,34.85
1743,34.87
1744,34.89
1745,34.91
1746,34.93
1747,34.95
1748,34.97
1749,34.99
1750,35.01
1751,35.03
1752,35.05
1753,35.07
1754,35.09
1755,35.11
1756,35.13
1757,35.15
1758,35.17
1759,35.19
1760,35.21
1761,35.23
1762,35.25
1763,35.27
1764,35.29
1765,35.31
1766,35.33
1767,35.35
1768,35.37
1769,35.39
1770,35.41
1771,35.43
1772,35.45
1773,35.47
1774,35.49
1775,35.51
1776,35.53
1777,35.55
1778,35.57
1779,35.59
1780,35.61
1781,35.63
1782,35.65
1783,35.67
1784,35.69
1785,35.71
1786,35.73
1787,35.75
1788,35.77
1789,35.79
1790,35.81
1791,35.83
1792,35.85
1793,35.87
1794,35.89
1795,35.91
1796,35.93
1797,35.95
1798,35.97
1799,35.99
1800,36.01
1801,36.03
1802,36.05
1803,36.07
1804,36.09
1805,36.11
1806,36.13
1807,36.15
1808,36.17
1809,36.19
1810,36.21
1811,36.23
1812,36.25
1813,36.27
1814,36.29
1815,36.31
1816,36.33
1817,36.35
1818,36.37
1819,36.39
1820,36.41
1821,36.43
1822,36.45
1823,36.47
1824,36.49
1825,36.51
1826,36.53
1827,36.55
1828,36.57
1829,36.59
1830,36.61
1831,36.63
1832,36.65
1833,36.67
1834,36.69
1835,36.71
1836,36.73
1837,36.75
1838,36.77
1839,36.79
1840,36.81
1841,36.83
1842,36.85
1843,36.87
1844,36.89
1845,36.91
1846,36.93
1847,36.95
1848,36.97
1849,36.99
1850,37.01
1851,37.03
1852,37.05
1853,37.07
1854,37.09
1855,37.11
1856,37.13
1857,37.15
1858,37.17
1859,37.19
1860,37.21
1861,37.23
1862,37.25
1863,37.27
1864,37.29
1865,37.31
1866,37.33
1867,37.35
1868,37.37
1869,37.39
1870,37.41
1871,37.43
1872,37.45
1873,37.47
1874,37.49
1875,37.51
1876,37.53
1877,37.55
1878,37.57
1879,37.59
1880,37.61
1881,37.63
1882,37.65
1883,37.67
1884,37.69
1885,37.71
1886,37.73
1887,37.75
1888,37.77
1889,37.79
1890,37.81
1891,37.83
1892,37.85
1893,37.87
1894,37.89
1895,37.91
1896,37.93
1897,37.95
1898,37.97
1899,37.99
1900,38.01
1901,38.03
1902,38.05
1903,38.07
1904,38.09
1905,38.11
1906,38.13
1907,38.15
1908,38.17
1909,38.19
1910,38.21
1911,38.23
1912,38.25
1913,38.27
1914,38.29
1915,38.31
1916,38.33
1917,38.35
1918,38.37
1919,38.39
1920,38.41
1921,38.43
1922,38.45
1923,38.47
1924,38.49
1925,38.51
1926,38.53
1927,38.55
1928,38.57
1929,38.59
1930,38.61
1931,38.63
1932,38.65
1933,38.67
1934,38.69
1935,38.71
1936,38.73
1937,38.75
1938,38.77
1939,38.79
1940,38.81
1941,38.83
1942,38.85
1943,38.87
1944,38.89
1945,38.91
1946,38.93
1947,38.95
1948,38.97
1949,38.99
1950,39.01
1951,39.03
1952,39.05
1953,39.07
1954,39.09
1955,39.11
1956,39.13
1957,39.15
1958,39.17
1959,39.19
1960,39.21
1961,39.23
1962,39.25
1963,39.27
1964,39.29
1965,39.31
1966,39.33
1967,39.35
1968,39.37
1969,39.39
1970,39.41
1971,39.43
1972,39.45
1973,39.47
1974,39.49
1975,39.51
1976,39.53
1977,39.55
1978,39.57
1979,39.59
1980,39.61
1981,39.63
1982,39.65
1983,39.67
1984,39.69
1985,39.71
1986,39.73
1987,39.75
1988,39.77
1989,39.79
1990,39.81
1991,39.83
1992,39.85
1993,39.87
1994,39.89
1995,39.91
1996,39.93
1997,39.95
1998,39.97
1999,39.99
2000,40.01
2001,40.03
2002,40.05
2003,40.07
2004,40.09
2005,40.11
2006,40.13
2007,40.15
2008,40.17
2009,40.19
2010,40.21
2011,40.23
2012,40.25
2013,40.27
2014,40.29
2015,40.31
2016,40.33
2017,40.35
2018,40.37
2019,40.39
2020,40.41
2021,40.43
2022,40.45
2023,40.47
2024,40.49
2025,40.51
2026,40.53
2027,40.55
2028,40.57
2029,40.59
2030,40.61
2031,40.63
2032,40.65
2033,40.67
2034,40.69
2035,40.71
2036,40.73
2037,40.75
2038,40.77
2039,40.79
2040,40.81
2041,40.83
2042,40.85
2043,40.87
2044,40.89
2045,40.91
2046,40.93
2047,40.95
2048,40.97
2049,40.99
2050,41.01
2051,41.03
2052,41.05
2053,41.07
2054,41.09
2055,41.11
2056,41.13
2057,41.15
2058,41.17
2059,41.19
2060,41.21
2061,41.23
2062,41.25
2063,41.27
2064,41.29
2065,41.31
2066,41.33
2067,41.35
2068,41.37
2069,41.39
2070,41.41
2071,41.43
2072,41.45
2073,41.47
2074,41.49
2075,41.51
2076,41.53
2077,41.55
2078,41.57
2079,41.59
2080,41.61
2081,41.63
2082,41.65
2083,41.67
2084,41.69
2085,41.71
2086,41.73
2087,41.75
2088,41.77
2089,41.79
2090,41.81
2091,41.83
2092,41.85
2093,41.87
2094,41.89
2095,41.91
2096,41.93
2097,41.95
2098,41.97
2099,41.99
2100,42.01
2101,42.03
2102,42.05
2103,42.07
2104,42.09
2105,42.11
2106,42.13
2107,42.15
2108,42.17
2109,42.19
2110,42.21
2111,42.23
2112,42.25
2113,42.27
2114,42.29
2115,42.31
2116,42.33
2117,42.35
2118,42.37
2119,42.39
2120,42.41
2121,42.43
2122,42.45
2123,42.47
2124,42.49
2125,42.51
2126,42.53
2127,42.55
2128,42.57
2129,42.59
2130,42.61
2131,42.63
2132,42.65
2133,42.67
2134,42.69
2135,42.71
2136,42.73
2137,42.75
2138,42.77
2139,42.79
2140,42.81
